"id","airport_type","name","country","city","iso_region","municipality","gps_code","iata_code","altitude","continent","local_code","coordinates"
2908,small_airport,Beatty Airport,US,Beatty,US-NV,"",KBTY,BTY,"3170",NA,BTY,"-116.787002563, 36.8610992432"
2909,small_airport,Cram Field,US,Burwell,US-NE,"",KBUB,BUB,"2182",NA,BUB,"-99.14969635010002, 41.776699066199996"
2910,large_airport,Buffalo Niagara International Airport,US,Buffalo,US-NY,"",KBUF,BUF,"728",NA,BUF,"-78.73220062, 42.94049835"
2911,small_airport,Butler Memorial Airport,US,Butler,US-MO,"",KBUM,BUM,"892",NA,BUM,"-94.3401031494, 38.2897987366"
2912,medium_airport,Bob Hope Airport,US,Burbank,US-CA,"",KBUR,BUR,"778",NA,BUR,"-118.35900115966797, 34.20069885253906"
2913,medium_airport,Beaver County Airport,US,Beaver Falls,US-PA,"",KBVI,BFP,"1253",NA,BVI,"-80.39140319820001, 40.7724990845"
2914,small_airport,Bartlesville Municipal Airport,US,Bartlesville,US-OK,"",KBVO,BVO,"711",NA,BVO,"-96.01119995, 36.76250076"
2915,small_airport,Skagit Regional Airport,US,Burlington/Mount Vernon,US-WA,"",KBVS,MVW,"144",NA,BVS,"-122.42099762, 48.4709014893"
2916,small_airport,Batesville Regional Airport,US,Batesville,US-AR,"",KBVX,BVX,"465",NA,BVX,"-91.64730072, 35.7262001"
2917,medium_airport,Beverly Municipal Airport,US,Beverly,US-MA,"",KBVY,BVY,"107",NA,BVY,"-70.91649627689999, 42.584201812699995"
2918,small_airport,Brawley Municipal Airport,US,Brawley,US-CA,"",KBWC,BWC,-128,NA,BWC,"-115.5169983, 32.99290085"
2919,small_airport,Brownwood Regional Airport,US,Brownwood,US-TX,"",KBWD,BWD,"1387",NA,BWD,"-98.9564971924, 31.793600082399998"
2920,medium_airport,Bowling Green Warren County Regional Airport,US,Bowling Green,US-KY,"",KBWG,BWG,"547",NA,BWG,"-86.41970062259999, 36.964500427199994"
2921,large_airport,Baltimore/Washington International Thurgood Marshall Airport,US,Baltimore,US-MD,"",KBWI,BWI,"146",NA,BWI,"-76.668297, 39.1754"
2922,small_airport,Harry Stern Airport,US,Wahpeton,US-ND,"",KBWP,WAH,"968",NA,BWP,"-96.6073989868, 46.2440986633"
2923,small_airport,Bowman Regional Airport,US,Bowman,US-ND,"",KBWW,BWM,"2965",NA,BWW,"-103.30075, 46.1655193"
2924,small_airport,George R Carr Memorial Air Field,US,Bogalusa,US-LA,"",KBXA,BXA,"119",NA,BXA,"-89.8649978638, 30.813699722299997"
2925,small_airport,Buckeye Municipal Airport,US,Buckeye,US-AZ,"",KBXK,BXK,"1033",NA,BXK,"-112.685997, 33.42039871"
2926,small_airport,Johnson County Airport,US,Buffalo,US-WY,"",KBYG,BYG,"4968",NA,BYG,"-106.722000122, 44.381099700899995"
2927,medium_airport,Arkansas International Airport,US,Blytheville,US-AR,"",KBYH,BYH,"254",NA,BYH,"-89.94400024410001, 35.9642982483"
2928,medium_airport,Burley Municipal Airport,US,Burley,US-ID,"",KBYI,BYI,"4150",NA,BYI,"-113.772003174, 42.542598724399994"
2929,medium_airport,Bicycle Lake Army Air Field,US,Fort Irwin/Barstow,US-CA,"",KBYS,BYS,"2350",NA,BYS,"-116.629997253, 35.2804985046"
2930,small_airport,Bay City Municipal Airport,US,Bay City,US-TX,"",KBYY,BBC,"45",NA,BYY,"-95.8635025024, 28.9733009338"
2931,medium_airport,Gallatin Field,US,Bozeman,US-MT,"",KBZN,BZN,"4473",NA,BZN,"-111.1529999, 45.77750015"
2932,small_airport,Grand Geneva Resort Airport,US,Lake Geneva,US-WI,"","",XES,"835",NA,C02,"-88.389603, 42.614899"
2933,small_airport,Plymouth Municipal Airport,US,Plymouth,US-IN,"",C65,PLY,"800",NA,C65,"-86.300498962402, 41.365100860596"
2934,small_airport,New Coalinga Municipal Airport,US,Coalinga,US-CA,"","",CLG,"622",NA,C80,"-120.29399871826172, 36.16310119628906"
2935,small_airport,Wexford County Airport,US,Cadillac,US-MI,"",KCAD,CAD,"1307",NA,CAD,"-85.4188995361, 44.2752990723"
2936,large_airport,Columbia Metropolitan Airport,US,Columbia,US-SC,"",KCAE,CAE,"236",NA,CAE,"-81.11949920654297, 33.93880081176758"
2937,small_airport,Craig Moffat Airport,US,Craig,US-CO,"",KCAG,CIG,"6193",NA,CAG,"-107.522003174, 40.4952011108"
2938,medium_airport,Akron Canton Regional Airport,US,Akron,US-OH,"",KCAK,CAK,"1228",NA,CAK,"-81.44219970703125, 40.916099548339844"
2939,small_airport,Clayton Municipal Airpark,US,Clayton,US-NM,"",KCAO,CAO,"4965",NA,CAO,"-103.166999817, 36.4462013245"
2940,medium_airport,Caribou Municipal Airport,US,Caribou,US-ME,"",KCAR,CAR,"626",NA,CAR,"-68.0178985596, 46.871498107899995"
2941,small_airport,Greater Cumberland Regional Airport,US,Cumberland,US-MD,"",KCBE,CBE,"775",NA,CBE,"-78.7609024048, 39.615398407"
2942,small_airport,Council Bluffs Municipal Airport,US,Council Bluffs,US-IA,"",KCBF,CBF,"1253",NA,CBF,"-95.760597229, 41.2592010498"
2943,small_airport,Shalz Field,US,Colby,US-KS,"",KCBK,CBK,"3187",NA,CBK,"-101.0469971, 39.42750168"
2944,large_airport,Columbus Air Force Base,US,Columbus,US-MS,"",KCBM,CBM,"219",NA,CBM,"-88.44380187990001, 33.6437988281"
2945,seaplane_base,Coffman Cove Seaplane Base,US,Coffman Cove,US-AK,"",KCC,KCC,"0",NA,KCC,"-132.841995239, 56.003200531"
2946,small_airport,Cable Airport,US,Upland,US-CA,"",KCCB,CCB,"1444",NA,CCB,"-117.68800354, 34.1115989685"
